"term","yind","hour","time","coef","se","lb","ub"
"group",14.9040404040404,14.9040404040404,"14:54",195.223175969955,37.8696358985257,120.998689608844,269.447662331065
"group",15.1363636363636,15.1363636363636,"15:08",195.223176007947,37.8696358988107,120.998689646278,269.447662369616
"group",15.3686868686869,15.3686868686869,"15:22",195.223176048278,37.869635899436,120.998689685384,269.447662411173
"group",15.6010101010101,15.6010101010101,"15:36",195.223176089338,37.8696359000892,120.998689725163,269.447662453513
"group",15.8333333333333,15.8333333333333,"15:50",195.223176129514,37.8696359003703,120.998689764788,269.44766249424
"group",16.0656565656566,16.0656565656566,"16:04",195.223176167228,37.8696359000246,120.99868980318,269.447662531276
"group",16.2979797979798,16.2979797979798,"16:18",195.22317620103,37.8696358993067,120.998689838389,269.447662563671
"group",16.530303030303,16.530303030303,"16:32",195.223176229505,37.8696358986164,120.998689868217,269.447662590794
"group",16.7626262626263,16.7626262626263,"16:46",195.223176251237,37.869635898266,120.998689890636,269.447662611839
"group",16.9949494949495,16.9949494949495,"17:00",195.22317626481,37.8696358983891,120.998689903967,269.447662625653
"group",17.2272727272727,17.2272727272727,"17:14",195.223176268807,37.8696358989045,120.998689906955,269.44766263066
"group",17.459595959596,17.459595959596,"17:28",195.223176261813,37.869635899538,120.998689898719,269.447662624908
"group",17.6919191919192,17.6919191919192,"17:42",195.223176242412,37.8696358998996,120.998689878608,269.447662606215
"group",17.9242424242424,17.9242424242424,"17:55",195.223176209508,37.8696358996546,120.998689846185,269.447662572831
"group",18.1565656565657,18.1565656565657,"18:09",195.223176164801,37.8696358989408,120.998689802877,269.447662526725
"group",18.3888888888889,18.3888888888889,"18:23",195.223176111433,37.8696358981579,120.998689751043,269.447662471822
"group",18.6212121212121,18.6212121212121,"18:37",195.223176052553,37.8696358976515,120.998689693156,269.44766241195
"group",18.8535353535354,18.8535353535354,"18:51",195.223175991313,37.8696358976056,120.998689632006,269.44766235062
"group",19.0858585858586,19.0858585858586,"19:05",195.223175930864,37.8696358979934,120.998689570797,269.447662290931
"group",19.3181818181818,19.3181818181818,"19:19",195.223175874359,37.8696358985842,120.998689513134,269.447662235584
"group",19.5505050505051,19.5505050505051,"19:33",195.223175824947,37.8696358990073,120.998689462893,269.447662187002
"group",19.7828282828283,19.7828282828283,"19:47",195.22317578571,37.8696358988823,120.9986894239,269.447662147519
"group",20.0151515151515,20.0151515151515,"20:01",195.223175758067,37.869635898209,120.998689397577,269.447662118556
"group",20.2474747474747,20.2474747474747,"20:15",195.223175741782,37.8696358973672,120.998689382942,269.447662100621
"group",20.479797979798,20.479797979798,"20:29",195.223175736547,37.8696358967274,120.998689378961,269.447662094132
"group",20.7121212121212,20.7121212121212,"20:43",195.223175742052,37.8696358965199,120.998689384873,269.447662099231
"group",20.9444444444444,20.9444444444444,"20:57",195.22317575799,37.869635896771,120.998689400319,269.447662115661
"group",21.1767676767677,21.1767676767677,"21:11",195.223175784051,37.8696358972962,120.99868942535,269.447662142752
"group",21.4090909090909,21.4090909090909,"21:25",195.223175819927,37.8696358977496,120.998689460338,269.447662179516
"group",21.6414141414141,21.6414141414141,"21:38",195.223175865302,37.8696358977311,120.99868950575,269.447662224855
"group",21.8737373737374,21.8737373737374,"21:52",195.223175919072,37.8696358971041,120.998689560748,269.447662277396
"group",22.1060606060606,22.1060606060606,"22:06",195.223175978596,37.8696358962083,120.998689622027,269.447662335164
"group",22.3383838383838,22.3383838383838,"22:20",195.223176041057,37.869635895439,120.998689685996,269.447662396117
"group",22.5707070707071,22.5707070707071,"22:34",195.223176103639,37.8696358950755,120.998689749291,269.447662457986
"group",22.8030303030303,22.8030303030303,"22:48",195.223176163525,37.8696358952042,120.998689808925,269.447662518125
"group",23.0353535353535,23.0353535353535,"23:02",195.2231762179,37.8696358956969,120.998689862334,269.447662573465
"group",23.2676767676768,23.2676767676768,"23:16",195.223176263946,37.8696358962464,120.998689907303,269.447662620589
"group",23.5,23.5,"23:30",195.223176298847,37.8696358964582,120.998689941789,269.447662655905
"age",0.5,0.5,"00:30",-8.81013916313147e-08,0.000114152840482076,-0.000223827668736499,0.000223651465953237
"age",0.732323232323232,0.732323232323232,"00:44",-9.81654817937455e-08,0.000113991994602164,-0.000223522474902035,0.000223326143938448
"age",0.964646464646465,0.964646464646465,"00:58",-1.08895689902763e-07,0.000113640581901123,-0.000222844436216104,0.000222626644836299
"age",1.1969696969697,1.1969696969697,"01:12",-1.19881245620316e-07,0.000113305524532442,-0.000222198709329207,0.000221958946837966
"age",1.42929292929293,1.42929292929293,"01:26",-1.30711378608352e-07,0.000113150286388796,-0.000221905272700648,0.000221643849943431
"age",1.66161616161616,1.66161616161616,"01:40",-1.40975318528819e-07,0.000113245252329226,-0.000222101669883812,0.000221819719246754
"age",1.89393939393939,1.89393939393939,"01:54",-1.50262295043666e-07,0.00011354768051934,-0.000222703716112951,0.000222403191522863
"age",2.12626262626263,2.12626262626263,"02:08",-1.58161537814841e-07,0.000113913806889537,-0.000223429223041307,0.000223112899965677
"age",2.35858585858586,2.35858585858586,"02:22",-1.64262276504292e-07,0.000114141464143557,-0.000223881531997875,0.000223553007444866
"age",2.59090909090909,2.59090909090909,"02:35",-1.6819667112975e-07,0.000114058137709484,-0.000223722146581719,0.00022338575323946
"age",2.82323232323232,2.82323232323232,"02:49",-1.69970534805572e-07,0.000113734739632057,-0.000223090060213637,0.000222750119144026
"age",3.05555555555556,3.05555555555556,"03:03",-1.69782072240547e-07,0.000113377513974414,-0.000222389709462092,0.000222050145317611
"age",3.28787878787879,3.28787878787879,"03:17",-1.67831078156644e-07,0.000113166501517614,-0.00022197417405268,0.000221638511896366
"age",3.52020202020202,3.52020202020202,"03:31",-1.6431734727583e-07,0.000113198462269078,-0.000222033303394669,0.000221704668700117
"age",3.75252525252525,3.75252525252525,"03:45",-1.59440674320071e-07,0.000113459063550365,-0.000222539205233036,0.000222220323884396
"age",3.98484848484848,3.98484848484848,"03:59",-1.53400854011335e-07,0.000113826927769289,-0.000223254179281818,0.000222947377573796
"age",4.21717171717172,4.21717171717172,"04:13",-1.4639768107159e-07,0.000114108978711734,-0.000223799995956071,0.000223507200593927
"age",4.44949494949495,4.44949494949495,"04:27",-1.38630562793444e-07,0.000114108978805243,-0.000223792229021071,0.000223514967895484
"age",4.68181818181818,4.68181818181818,"04:41",-1.30289995594281e-07,0.000113826928053193,-0.000223231068979852,0.000222970488988663
"age",4.91414141414141,4.91414141414141,"04:55",-1.21557565016261e-07,0.000113459064034045,-0.000222501323071744,0.000222258207941711
"age",5.14646464646465,5.14646464646465,"05:09",-1.12614469172182e-07,0.000113198462966524,-0.000221981601883559,0.000221756372945214
"age",5.37878787878788,5.37878787878788,"05:23",-1.03641906174846e-07,0.000113166502446174,-0.000221909986700676,0.000221702702888326
"age",5.61111111111111,5.61111111111111,"05:37",-9.48210741370521e-08,0.000113377515154162,-0.000222314750776294,0.00022212510862802
"age",5.84343434343434,5.84343434343434,"05:51",-8.63331711716016e-08,0.000113734741086043,-0.000223006425699816,0.000222833759357473
"age",6.07575757575758,6.07575757575758,"06:05",-7.83593953912947e-08,0.000114058139464769,-0.000223632312746338,0.000223475593955556
"age",6.30808080808081,6.30808080808081,"06:18",-7.10801158187705e-08,0.000114141466232391,-0.000223788353931305,0.000223646193699667
"age",6.54040404040404,6.54040404040404,"06:32",-6.45753815671677e-08,0.000113913809341971,-0.00022333564169183,0.000223206490928695
"age",6.77272727272727,6.77272727272727,"06:46",-5.87304055617519e-08,0.00011354768334478,-0.000222612189761331,0.000222494728950208
"age",7.00505050505051,7.00505050505051,"07:00",-5.3408015293437e-08,0.000113245255508954,-0.000222014108812843,0.000221907292782256
"age",7.23737373737374,7.23737373737374,"07:14",-4.84710382531375e-08,0.000113150289872288,-0.000221823039187938,0.000221726097111432
"age",7.46969696969697,7.46969696969697,"07:28",-4.37823019317673e-08,0.0001133055282376,-0.000222122617647629,0.000222035053043765
"age",7.7020202020202,7.7020202020202,"07:42",-3.92046338202406e-08,0.00011364058571845,-0.000222774752641982,0.000222696343374342
"age",7.93434343434343,7.93434343434343,"07:56",-3.46008614094717e-08,0.000113991998401156,-0.000223458917727675,0.000223389716004856
"age",8.16666666666667,8.16666666666667,"08:10",-2.98338121903747e-08,0.000114152844117384,-0.000223769408282264,0.000223709740657883
"age",8.3989898989899,8.3989898989899,"08:24",-2.48014591151975e-08,0.000113991997921041,-0.000223449117384355,0.000223399514466125
"age",8.63131313131313,8.63131313131313,"08:38",-1.95423569815235e-08,0.000113640584760021,-0.000222755088486624,0.000222716003772661
"age",8.86363636363636,8.86363636363636,"08:52",-1.41302060482696e-08,0.000113305526807616,-0.000222092962748975,0.000222064702336879
"age",9.0959595959596,9.0959595959596,"09:06",-8.63870657435292e-09,0.000113150287985163,-0.000221783203157494,0.000221765925744345
"age",9.32828282828283,9.32828282828283,"09:20",-3.14155881869046e-09,0.000113245253187337,-0.000221963837806,0.000221957554688363
"age",9.56060606060606,9.56060606060606,"09:34",2.28753695980064e-09,0.000113547680617533,-0.000222551166473405,0.000222555741547325
"age",9.79292929292929,9.79292929292929,"09:48",7.57488050220337e-09,0.000113913806240319,-0.000223263485350524,0.000223278635111528
"age",10.0252525252525,10.0252525252525,"10:02",1.26467715496007e-08,0.000114141462785978,-0.000223704620288967,0.000223729913832066
