"term","hour","time","coef","lb","ub"
"tg",1.58333333333333,"01:35",-86.139932613826,-141.48711841301,-30.7927468146423
"tg",1.66666666666667,"01:40",-86.139932841821,-141.487118641612,-30.7927470420297
"tg",1.75,"01:45",-86.1399330507429,-141.487118851925,-30.7927472495607
"tg",1.83333333333333,"01:50",-86.1399332596648,-141.487119062238,-30.7927474570918
"tg",1.91666666666667,"01:55",-86.1399334609212,-141.487119264956,-30.7927476568862
"tg",2,"02:00",-86.139933641736,-141.487119447423,-30.7927478360492
"tg",2.08333333333333,"02:05",-86.1399338225508,-141.487119629889,-30.7927480152122
"tg",2.16666666666667,"02:10",-86.1399339859544,-141.487119794678,-30.7927481772304
"tg",2.25,"02:15",-86.1399341308585,-141.487119940685,-30.7927483210322
"tg",2.33333333333333,"02:20",-86.1399342757626,-141.487120086691,-30.7927484648339
"tg",2.41666666666667,"02:25",-86.1399343907726,-141.487120201935,-30.7927485796102
"tg",2.5,"02:30",-86.1399344927851,-141.487120303803,-30.7927486817668
"tg",2.58333333333333,"02:35",-86.1399345947976,-141.487120405672,-30.7927487839233
"tg",2.66666666666667,"02:40",-86.1399346579809,-141.487120467834,-30.7927488481278
"tg",2.75,"02:45",-86.1399347172813,-141.487120526026,-30.7927489085371
"tg",2.83333333333333,"02:50",-86.1399347718731,-141.487120579491,-30.7927489642551
"tg",2.91666666666667,"02:55",-86.1399347923277,-141.487120598694,-30.7927489859609
"tg",3,"03:00",-86.1399348127822,-141.487120617898,-30.7927490076667
"tg",3.08333333333333,"03:05",-86.1399348215871,-141.487120625641,-30.7927490175332
"tg",3.16666666666667,"03:10",-86.1399348070926,-141.487120610464,-30.792749003721
"tg",3.25,"03:15",-86.139934792598,-141.487120595287,-30.7927489899088
"tg",3.33333333333333,"03:20",-86.1399347611659,-141.48712056369,-30.7927489586417
"tg",3.41666666666667,"03:25",-86.139934715619,-141.487120518409,-30.7927489128289
"tg",3.5,"03:30",-86.1399346700722,-141.487120473128,-30.792748867016
"tg",3.58333333333333,"03:35",-86.1399346039529,-141.487120407953,-30.7927487999531
"tg",3.66666666666667,"03:40",-86.1399345312505,-141.487120336411,-30.7927487260902
"tg",3.75,"03:45",-86.139934458548,-141.487120264869,-30.7927486522272
"tg",3.83333333333333,"03:50",-86.1399343632916,-141.487120171182,-30.7927485554014
"tg",3.91666666666667,"03:55",-86.1399342673303,-141.487120076803,-30.792748457858
"tg",4,"04:00",-86.1399341678487,-141.487119978841,-30.7927483568559
"tg",4.08333333333333,"04:05",-86.1399340525253,-141.487119864761,-30.7927482402897
"tg",4.16666666666667,"04:10",-86.139933937202,-141.48711975068,-30.7927481237236
